1	79	117387
3	100	116940
3	237	117208
1	125	117052
1	7	117273
1	192	116842
2	160	116907
1	21	117004
2	29	117225
1	109	117451
2	62	117151
1	213	117015
3	125	117105
3	1	117639
2	51	116666
3	181	116903
3	172	117065
3	174	117232
3	69	117330
1	123	116936
3	91	117508
1	64	117423
2	207	117481
1	33	116909
2	49	117117
1	70	117488
2	247	117112
3	67	117133
3	2	117295
2	90	117070
3	228	117093
1	200	117160
3	214	117425
3	33	116871
1	17	116889
1	41	117229
3	43	117180
1	230	117429
1	224	117087
1	61	117142
2	240	117052
2	105	116995
3	45	117484
1	199	117465
2	101	117520
2	156	117235
3	12	117521
3	35	116992
2	234	117048
1	76	117562
3	139	117474
2	205	117686
1	195	117292
1	49	116777
1	197	116923
2	11	117151
2	170	117174
3	213	117027
3	150	117272
3	34	117154
2	71	116887
2	80	117447
1	90	117045
2	14	117292
1	122	117166
2	151	117079
3	83	117465
1	119	117480
2	104	117013
1	73	117365
2	82	117069
1	25	117327
1	89	117068
2	208	116964
3	94	116871
2	213	117289
1	235	117389
1	139	117491
2	21	117012
1	40	117286
3	188	117312
1	23	117468
1	131	117340
1	138	116725
1	152	117163
2	190	117302
2	227	117108
2	23	117282
3	143	117417
2	133	117131
3	203	117043
3	81	116956
3	24	116927
1	252	117181
1	146	116948
3	158	117126
3	99	116906
2	153	116909
3	37	117133
2	66	116958
1	82	117303
2	180	117346
1	59	117435
2	77	116914
3	48	117242
2	102	117226
2	172	116957
3	105	117244
1	67	117268
3	110	117235
1	250	117114
1	86	116746
1	78	117651
3	46	117456
2	220	117187
2	4	116922
1	219	117107
1	227	117638
3	120	117268
1	180	116967
1	148	116564
2	75	117173
2	245	117307
3	90	117166
1	153	116916
3	39	116797
1	50	116929
3	157	117321
3	137	117013
3	15	117357
1	113	116828
2	46	117110
3	224	117846
1	16	117177
2	122	117136
1	164	117300
2	56	116998
1	175	117581
1	15	117063
3	192	116897
1	160	117060
3	151	117299
3	205	117278
1	206	117311
3	160	117231
1	162	117424
1	144	117338
2	143	116994
1	51	117233
1	209	116924
2	24	117222
3	154	117397
2	238	117100
2	216	117469
2	192	117406
1	170	117531
1	121	117063
3	250	117491
3	0	117131
2	54	117263
1	201	117423
2	109	117387
1	254	117057
2	112	116738
3	189	116964
2	166	117229
1	196	117515
2	81	116755
3	198	117279
2	210	117103
3	44	117850
2	249	116470
2	19	117191
3	144	117019
1	217	117367
2	116	116937
3	122	117140
1	63	117436
1	244	116702
3	16	117260
3	153	117485
2	20	117319
2	228	117098
1	174	117185
3	162	117511
3	86	117378
1	142	117233
2	161	117157
2	150	117343
3	187	117011
2	48	117549
1	255	117097
3	80	117760
2	158	117373
3	200	117142
1	57	117100
2	87	117646
3	121	116782
2	32	117097
2	38	117154
2	215	117360
3	168	117354
1	77	117274
1	182	117039
2	222	117115
3	98	117356
2	157	116932
1	178	116764
2	60	117473
3	9	117160
3	227	117291
3	167	116665
1	102	117316
3	165	116859
1	243	117632
3	47	117028
1	75	117205
3	133	117393
2	52	116893
1	145	117112
2	108	117762
2	92	116871
3	163	117249
2	72	116952
1	181	117429
2	128	117128
3	18	117120
3	255	116821
3	204	117275
2	65	117557
1	93	117477
1	208	116877
3	63	116842
2	94	116784
2	141	117237
2	211	117121
2	57	117086
3	156	117111
1	221	117039
2	5	117084
2	63	116976
2	134	117136
1	53	117260
3	236	117004
3	27	116946
3	89	117721
2	253	116835
1	151	117351
3	202	117841
2	36	116977
1	103	117354
2	137	117291
3	119	117499
2	199	117223
1	28	116746
2	171	116769
2	0	117148
1	83	117566
1	190	117311
1	141	116630
3	56	117238
1	1	117240
1	39	117023
2	174	117255
1	135	116998
1	20	117158
3	230	116948
2	223	116807
1	99	117295
3	62	116858
3	233	116947
2	2	117084
2	107	117237
2	100	117158
2	110	117217
3	142	117295
1	194	117458
2	25	117480
2	225	116893
3	8	117389
3	225	117236
3	88	116834
1	156	116983
3	229	117542
2	251	117047
1	105	117118
3	76	117053
3	123	116864
1	52	117019
3	25	117622
1	37	116973
2	39	117141
3	92	117274
1	128	117316
3	129	117181
2	88	117069
1	110	117409
1	107	117576
1	163	116976
3	183	117139
3	71	117035
1	126	117121
2	165	117178
3	185	117341
2	131	117244
2	15	116833
3	248	116641
3	180	117227
3	235	117039
1	19	117239
1	168	117258
2	43	117115
3	242	117154
1	211	117387
1	112	116978
2	189	116922
2	99	117353
2	212	116736
3	207	117001
2	167	117350
3	60	117197
3	141	116919
3	87	117174
